event_order,published_date,effective_year,effective_month,increase_pct,scale_total,detail_url,title,source_url
0,2022-03-03,2022,3,,225548.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/258261/20220303?busqueda=1,Resolución Conjunta 1/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/258261/20220303?busqueda=1
1,2022-05-03,2022,5,6.493518009470267,240194.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/261720/20220503?busqueda=1,Resolución Conjunta 3/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/261720/20220503?busqueda=1
2,2022-07-01,2022,7,28.000283104490542,307449.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/265374/20220701?busqueda=1,Resolución Conjunta 5/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/265374/20220701?busqueda=1
3,2022-10-31,2022,11,17.187566067868175,360292.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/274662/20221031?busqueda=1,Resolución Conjunta 6/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/274662/20221031?busqueda=1
4,2022-10-31,2023,1,6.666537142095863,384311.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/274662/20221031?busqueda=1,Resolución Conjunta 6/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/274662/20221031?busqueda=1
5,2023-03-03,2023,3,40.36808730429262,539450.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/282072/20230303?busqueda=1,Resolución Conjunta 12/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/282072/20230303?busqueda=1
6,2023-05-30,2023,6,5.500046343498011,569120.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/287387/20230530?busqueda=1,Resolución Conjunta 19/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/287387/20230530?busqueda=1
7,2023-07-03,2023,7,40.94057492268766,802121.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/289327/20230703?busqueda=1,Resolución Conjunta 29/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/289327/20230703?busqueda=1
8,2023-07-03,2023,8,2.899936543239745,825382.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/289327/20230703?busqueda=1,Resolución Conjunta 29/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/289327/20230703?busqueda=1
9,2023-10-02,2023,10,23.210101504515478,1016954.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/295309/20231002?busqueda=1,Resolución Conjunta 45/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/295309/20231002?busqueda=1
