event_order,published_date,effective_year,effective_month,increase_pct,scale_total,detail_url,title,source_url
0,2022-03-02,2020,10,,306400.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/258169/20220302?busqueda=1,Resolución Conjunta 2/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/258169/20220302?busqueda=1
1,2022-03-02,2020,10,0.0,306400.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/258169/20220302?busqueda=1&anexos=1,Resolución Conjunta 2/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/258169/20220302?busqueda=1&anexos=1
2,2022-05-03,2022,3,6.493472584856397,326296.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/261721/20220503?busqueda=1,Resolución Conjunta 3/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/261721/20220503?busqueda=1
3,2022-05-03,2022,3,0.0,326296.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/261721/20220503?busqueda=1&anexos=1,Resolución Conjunta 3/2022,https://www.boletinoficial.gob.ar/detalleAviso/primera/261721/20220503?busqueda=1&anexos=1
4,2023-03-02,2022,11,97.0085443891436,642831.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/281990/20230302?busqueda=1,Resolución Conjunta 1/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/281990/20230302?busqueda=1
5,2023-03-02,2022,11,0.0,642831.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/281990/20230302?busqueda=1&anexos=1,Resolución Conjunta 1/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/281990/20230302?busqueda=1&anexos=1
6,2023-06-02,2023,3,5.500045890755123,678187.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/287673/20230602?busqueda=1,Resolución Conjunta 2/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/287673/20230602?busqueda=1
7,2023-06-02,2023,3,0.0,678187.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/287673/20230602?busqueda=1&anexos=1,Resolución Conjunta 2/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/287673/20230602?busqueda=1&anexos=1
8,2023-07-04,2023,6,29.30003081745891,876896.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/289500/20230704?busqueda=1,Resolución Conjunta 4/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/289500/20230704?busqueda=1
9,2023-07-04,2023,6,0.0,876896.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/289500/20230704?busqueda=1&anexos=1,Resolución Conjunta 4/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/289500/20230704?busqueda=1&anexos=1
10,2023-10-03,2023,7,26.783107688939168,1111756.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/295401/20231003?busqueda=1,Resolución Conjunta 8/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/295401/20231003?busqueda=1
11,2023-10-03,2023,7,0.0,1111756.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/295401/20231003?busqueda=1&anexos=1,Resolución Conjunta 8/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/295401/20231003?busqueda=1&anexos=1
12,2023-12-04,2023,10,19.899960063179336,1332995.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/299754/20231204?busqueda=1,Resolución Conjunta 9/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/299754/20231204?busqueda=1
13,2023-12-04,2023,10,0.0,1332995.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/299754/20231204?busqueda=1&anexos=1,Resolución Conjunta 9/2023,https://www.boletinoficial.gob.ar/detalleAviso/primera/299754/20231204?busqueda=1&anexos=1
14,2024-02-01,2023,12,15.999984996192772,1546274.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/302270/20240201?busqueda=1,Resolución Conjunta 1/2024,https://www.boletinoficial.gob.ar/detalleAviso/primera/302270/20240201?busqueda=1
15,2024-02-01,2023,12,0.0,1546274.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/302270/20240201?busqueda=1&anexos=1,Resolución Conjunta 1/2024,https://www.boletinoficial.gob.ar/detalleAviso/primera/302270/20240201?busqueda=1&anexos=1
16,2024-02-28,2024,2,12.000007760590936,1731827.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/304105/20240228?busqueda=1,Resolución Conjunta 2/2024,https://www.boletinoficial.gob.ar/detalleAviso/primera/304105/20240228?busqueda=1
17,2024-02-28,2024,2,0.0,1731827.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/304105/20240228?busqueda=1&anexos=1,Resolución Conjunta 2/2024,https://www.boletinoficial.gob.ar/detalleAviso/primera/304105/20240228?busqueda=1&anexos=1
18,2024-04-04,2024,3,7.999990761201903,1870373.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/305363/20240404?busqueda=1,Resolución Conjunta 3/2024,https://www.boletinoficial.gob.ar/detalleAviso/primera/305363/20240404?busqueda=1
19,2024-04-04,2024,3,0.0,1870373.0,https://www.boletinoficial.gob.ar/detalleAviso/primera/305363/20240404?busqueda=1&anexos=1,Resolución Conjunta 3/2024,https://www.boletinoficial.gob.ar/detalleAviso/primera/305363/20240404?busqueda=1&anexos=1
