event_order,source_row,date,increase_pct,source_url
47,24,2022-01-01,5.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
48,24,2022-02-01,7.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
49,24,2022-04-01,7.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
50,24,2022-05-01,10.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
35,18,2022-06-01,16.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
36,18,2022-08-01,12.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
37,18,2022-10-01,12.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
40,18,2022-11-01,10.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
41,18,2023-01-01,10.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
42,18,2023-02-01,10.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
43,18,2023-03-01,8.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
44,18,2023-04-01,5.13,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
23,13,2023-06-01,7.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
24,13,2023-07-01,11.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
25,13,2023-08-01,12.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
26,13,2023-09-01,11.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
27,13,2023-10-01,11.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
28,13,2023-11-01,10.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
29,13,2023-12-01,9.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
30,13,2024-01-01,16.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
31,13,2024-02-01,12.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
32,13,2024-03-01,8.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
33,13,2024-04-01,2.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
34,13,2024-05-01,7.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
12,8,2024-07-01,3.5,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
13,8,2024-08-01,3.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
14,8,2024-09-01,2.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
15,8,2024-10-01,1.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
16,8,2024-11-01,2.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
17,8,2024-12-01,1.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
18,8,2025-01-01,1.5,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
19,8,2025-02-01,1.2,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
20,8,2025-03-01,1.3,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
21,8,2025-04-01,1.3,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
22,8,2025-05-01,1.3,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
0,3,2025-06-01,1.3,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
1,3,2025-07-01,1.3,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
2,3,2025-08-01,1.3,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
3,3,2025-09-01,1.2,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
4,3,2025-10-01,1.1,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
5,3,2025-11-01,1.1,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
6,3,2025-12-01,2.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
7,3,2026-01-01,2.5,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
8,3,2026-02-01,2.2,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
9,3,2026-03-01,2.0,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
10,3,2026-04-01,1.7,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
11,3,2026-05-01,1.5,https://upcndigital.org/~legislacion/Indices/Aumentos%20Salariales_Actas%20y%20Decretos.htm
